number	Name	latency	urevent	duration
1	Date: 2020-3-5  TimeStart- 17:41:45	0.000000	1	-1.000000
2	2020_03_05_17_39_49	0.000000	2	-1.000000
3		0.500000	3	-1.000000
4	Eyes Open	40.872000	4	-1.000000
5	Eyes Open	48.979000	5	-1.000000
6	Eyes Close	51.137000	6	-1.000000
7	Eyes Close	71.059000	7	-1.000000
8	Eyes Open	81.293000	8	-1.000000
9	Eyes Close	91.357000	9	-1.000000
10	Eyes Open	101.693000	10	-1.000000
11	Eyes Open	111.472000	11	-1.000000
12	Eyes Close	111.747000	12	-1.000000
13	Blue	119.432000	13	-1.000000
14	Eyes Open	129.566000	14	-1.000000
15	Eyes Close	131.801000	15	-1.000000
16	green	137.472000	16	-1.000000
17	EORed	148.530000	17	-1.000000
18	Eyes Close	152.011000	18	-1.000000
19	Eyes Close	160.873000	19	-1.000000
20	Eyes Open	167.759000	20	-1.000000
21	EoY	176.537000	21	-1.000000
22	Eyes Open	194.843000	22	-1.000000
23	Eyes Close	202.685000	23	-1.000000
24	Eyes Close	203.908000	24	-1.000000
25	Eyes Open	211.482000	25	-1.000000
26	Eyes Close	219.764000	26	-1.000000
27	Eyes Open	233.350000	27	-1.000000
28	Eyes Close	236.423000	28	-1.000000
29	Eyes Open	248.627000	29	-1.000000
30	Eyes Close	260.058000	30	-1.000000
31	Eyes Open	270.827000	31	-1.000000
32	Eyes Close	280.771000	32	-1.000000
33	Eyes Open	288.930000	33	-1.000000
34	Eyes Close	298.244000	34	-1.000000
35	Eyes Open	308.164000	35	-1.000000
36	Eyes Close	319.410000	36	-1.000000
37	Eyes Open	328.870000	37	-1.000000
38	Eyes Close	339.199000	38	-1.000000
39	Eyes Open	350.412000	39	-1.000000
40	Eyes Close	371.001000	40	-1.000000
41	Eyes Open	380.193000	41	-1.000000
42	Eyes Close	390.880000	42	-1.000000
43	Eyes Open	400.406000	43	-1.000000
44	Eyes Close	410.627000	44	-1.000000
45	Eyes Open	420.110000	45	-1.000000
46	Eyes Close	420.797000	46	-1.000000
47	Relax EO	446.123000	47	-1.000000
48	Eye Blink	456.725000	48	-1.000000
49	Eye Blink	458.058000	49	-1.000000
50	Body Movement	467.428000	50	-1.000000
51	Body Movement	475.724000	51	-1.000000
